Symbol,Name,Country,IPO Year,Sector,Industry
AXP,American Express Company Common Stock,United States,,Finance,Finance: Consumer Services
AXR,AMREP Corporation Common Stock,United States,,Real Estate,Homebuilding
AXS,Axis Capital Holdings Limited Common Stock,Bermuda,2003,Finance,Property-Casualty Insurers
AXS^E,Axis Capital Holdings Limited Depositary Shares each representing 1/100th interest in a share of a 5.50% Series E Preferred Shares,Bermuda,,,
AXSM,Axsome Therapeutics Inc. Common Stock,United States,2015,Health Care,Biotechnology: Pharmaceutical Preparations
AXTA,Axalta Coating Systems Ltd. Common Shares,United States,2014,Consumer Discretionary,Paints/Coatings
AXTI,AXT Inc Common Stock,United States,1998,Technology,Semiconductors
AY,Atlantica Sustainable Infrastructure plc Ordinary Shares,United Kingdom,2014,Utilities,Electric Utilities: Central
AYI,Acuity Brands Inc. ,United States,,Consumer Discretionary,Building Products
AYRO,AYRO Inc. Common Stock,United States,,,
AYTU,Aytu BioPharma Inc.  Common Stock,United States,,Health Care,Biotechnology: Pharmaceutical Preparations
AYX,Alteryx Inc. Class A Common Stock,United States,2017,Technology,Computer Software: Prepackaged Software
AZ,A2Z Smart Technologies Corp. Common Shares,Canada,,Industrials,Industrial Machinery/Components
AZEK,The AZEK Company Inc. Class A Common Stock,United States,2020,Industrials,Plastic Products
AZN,AstraZeneca PLC American Depositary Shares,United Kingdom,,Health Care,Biotechnology: Pharmaceutical Preparations
AZO,AutoZone Inc. Common Stock,United States,,Consumer Discretionary,Auto & Home Supply Stores
AZPN,Aspen Technology Inc. Common Stock,United States,,Technology,EDP Services
AZTA,Azenta Inc.,United States,,Health Care,Medical/Dental Instruments
AZTR,Azitra Inc Common Stock,,2023,Health Care,Biotechnology: Pharmaceutical Preparations
AZUL,Azul S.A. American Depositary Shares (each representing three preferred shares),Brazil,2017,Consumer Discretionary,Air Freight/Delivery Services
AZZ,AZZ Inc.,United States,,Industrials,Industrial Specialties
B,Barnes Group Inc. Common Stock,United States,,Industrials,Metal Fabrications
BA,Boeing Company (The) Common Stock,United States,,Industrials,Aerospace
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,China,2014,Consumer Discretionary,Catalog/Specialty Distribution
BAC,Bank of America Corporation Common Stock,United States,,Finance,Major Banks
BAC^B,Bank of America Corporation Depositary Shares each representing a 1/1000th interest in a share of 6.000% Non-Cumulative Preferred Stock Series GG,United States,,,
BAC^E,Bank of America Corporation Depositary Sh repstg 1/1000th Perp Pfd Ser E,United States,,,
BAC^K,Bank of America Corporation Depositary Shares each representing a 1/1000th interest in a share of 5.875% Non- Cumulative Preferred Stock Series HH,United States,,,
BAC^L,Bank of America Corporation Non Cumulative Perpetual Conv Pfd Ser L,United States,,,
BAC^M,Bank of America Corporation Depositary Shares each representing a 1/1000th interest in a share of 5.375% Non-Cumulative Preferred Stock Series KK,United States,,,
BAC^N,Bank of America Corporation Depositary shares each representing 1/1000th interest in a share of 5.000% Non-Cumulative Preferred Stock Series LL,United States,,,
BAC^O,Bank of America Corporation Depositary shares each representing 1/1000th interest in a share of 4.375% Non-Cumulative Preferred Stock Series NN,United States,,,
BAC^P,Bank of America Corporation Depositary Shares each representing a 1/1000th interest in a share of 4.125% Non-Cumulative Preferred Stock Series PP,United States,,,
BAC^Q,Bank of America Corporation Depositary shares each representing 1/1000th interest in a share of 4.250% Non-Cumulative Preferred Stock Series QQ,United States,,,
BAC^S,Bank of America Corporation Depositary shares each representing 1/1000th interest in a share of 4.750% Non-Cumulative Preferred Stock Series SS,United States,,,
BACA,Berenson Acquisition Corp. I Class A Common Stock,,2021,Finance,Blank Checks
BACK,IMAC Holdings Inc. Common Stock,United States,2019,Health Care,Medical Specialities
BAER,Bridger Aerospace Group Holdings Inc. Common Stock,United States,,Finance,Blank Checks
BAERW,Bridger Aerospace Group Holdings Inc. Warrant,United States,,Finance,Blank Checks
BAFN,BayFirst Financial Corp. Common Stock,United States,,Finance,Savings Institutions
BAH,Booz Allen Hamilton Holding Corporation Common Stock,United States,2010,Consumer Discretionary,Professional Services
BAK,Braskem SA ADR,Brazil,,Industrials,Major Chemicals
BALL,Ball Corporation Common Stock,United States,,Industrials,Containers/Packaging
BALY,Bally's Corporation Common Stock,United States,2019,Consumer Discretionary,Hotels/Resorts
BAM,Brookfield Asset Management Inc Class A Limited Voting Shares,,2022,Real Estate,Building operators
BANC,Banc of California Inc. Common Stock,United States,,Finance,Major Banks
BANC^F,Banc of California Inc. Depositary Shares each representing a 1/40th interest in a share of 7.75% non-cumulative perpetual preferred stock Series F,United States,,,
BAND,Bandwidth Inc. Class A Common Stock,United States,2017,Technology,Computer Software: Prepackaged Software
BANF,BancFirst Corporation Common Stock,United States,1993,Finance,Major Banks
BANFP,BancFirst Corporation - BFC Capital Trust II Cumulative Trust Preferred Securities,United States,,Finance,Major Banks
BANL,CBL International Limited Ordinary Shares,Malaysia,2023,Energy,Oil Refining/Marketing
BANR,Banner Corporation Common Stock,United States,,Finance,Major Banks
BANX,ArrowMark Financial Corp. Common Stock,United States,,Finance,Trusts Except Educational Religious and Charitable
BAOS,Baosheng Media Group Holdings Limited Ordinary shares,China,2021,Consumer Discretionary,Business Services
BAP,Credicorp Ltd. Common Stock,Peru,,Finance,Commercial Banks
BARK,BARK Inc. Class A Common Stock,United States,2020,Consumer Discretionary,Department/Specialty Retail Stores
BASE,Couchbase Inc. Common Stock,United States,2021,Technology,EDP Services
BATL,Battalion Oil Corporation Common Stock,United States,,Energy,Oil & Gas Production
BATRA,Atlanta Braves Holdings Inc. Series A Common Stock,United States,,Industrials,Broadcasting
BATRK,Atlanta Braves Holdings Inc. Series C Common Stock,United States,,Consumer Discretionary,Movies/Entertainment
BAX,Baxter International Inc. Common Stock,United States,,Health Care,Medical/Dental Instruments
BAYA,Bayview Acquisition Corp Class A Ordinary Shares,United States,2023,,
BAYAR,Bayview Acquisition Corp Right,United States,2023,,
BAYAU,Bayview Acquisition Corp Unit,United States,2023,,
BB,BlackBerry Limited Common Stock,Canada,,,
BBAI,BigBear.ai Inc. Common Stock,United States,2021,Technology,EDP Services
BBAR,Banco BBVA Argentina S.A. ADS,Argentina,,Finance,Commercial Banks
BBCP,Concrete Pumping Holdings Inc. Common Stock,United States,2017,Consumer Discretionary,Engineering & Construction
BBD,Banco Bradesco Sa American Depositary Shares,Brazil,,Finance,Major Banks
BBDC,Barings BDC Inc. Common Stock,United States,,Finance,Diversified Financial Services
BBDO,Banco Bradesco Sa American Depositary Shares (each representing one Common Share),Brazil,,Finance,Major Banks
BBGI,Beasley Broadcast Group Inc. Class A Common Stock,United States,2000,Consumer Discretionary,Broadcasting
BBIO,BridgeBio Pharma Inc. Common Stock,United States,2019,Health Care,Biotechnology: Pharmaceutical Preparations
BBLG,Bone Biologics Corp Common Stock,United States,,Health Care,Industrial Specialties
BBLGW,Bone Biologics Corp Warrants,United States,,Health Care,Industrial Specialties
BBN,BlackRock Taxable Municipal Bond Trust Common Shares of Beneficial Interest,United States,2010,Finance,Finance Companies
BBSI,Barrett Business Services Inc. Common Stock,United States,1993,Consumer Discretionary,Professional Services
BBU,Brookfield Business Partners L.P. Limited Partnership Units ,,2016,Consumer Discretionary,Engineering & Construction
BBUC,Brookfield Business Corporation Class A Exchangeable Subordinate Voting Shares,,2022,,
BBVA,Banco Bilbao Vizcaya Argentaria S.A. Common Stock,Spain,,Finance,Commercial Banks
BBW,Build-A-Bear Workshop Inc. Common Stock,United States,2004,Consumer Discretionary,Recreational Games/Products/Toys
BBWI,Bath & Body Works Inc.,United States,,Consumer Discretionary,Clothing/Shoe/Accessory Stores
BBY,Best Buy Co. Inc. Common Stock,United States,,Consumer Discretionary,Consumer Electronics/Video Chains
BC,Brunswick Corporation Common Stock,United States,,Industrials,Industrial Machinery/Components
BC^A,Brunswick Corporation 6.500% Senior Notes due 2048,United States,,,
BC^B,Brunswick Corporation 6.625% Senior Notes due 2049,United States,,,
BC^C,Brunswick Corporation 6.375% Notes due 2049,United States,,,
BCAB,BioAtla Inc. Common Stock,United States,2020,Health Care, Medicinal Chemicals and Botanical Products 
BCAL,Southern California Bancorp Common Stock,United States,,Finance,Major Banks
BCAN,BYND Cannasoft Enterprises Inc. Common Stock,Canada,,,
BCAT,BlackRock Capital Allocation Term Trust Common Shares of Beneficial Interest,United States,2020,Finance,Finance/Investors Services
BCBP,BCB Bancorp Inc. (NJ) Common Stock,United States,2005,Finance,Savings Institutions
BCC,Boise Cascade L.L.C. Common Stock,United States,2013,Consumer Discretionary,RETAIL: Building Materials
BCDA,BioCardia Inc. Common Stock,United States,,Health Care,Biotechnology: Pharmaceutical Preparations
BCDAW,BioCardia Inc. Warrant,United States,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BCE,BCE Inc. Common Stock,Canada,,Telecommunications,Telecommunications Equipment
BCEL,Atreca Inc. Class A Common Stock,United States,2019,Health Care,Biotechnology: Pharmaceutical Preparations
BCH,Banco De Chile ADS,Chile,,Finance,Commercial Banks
BCLI,Brainstorm Cell Therapeutics Inc. Common Stock,United States,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BCML,BayCom Corp Common Stock,United States,2018,Finance,Major Banks
BCO,Brinks Company (The) Common Stock,United States,,Consumer Discretionary,Oil Refining/Marketing
BCOV,Brightcove Inc. Common Stock,United States,2012,Technology,EDP Services
BCOW,1895 Bancorp of Wisconsin Inc. (MD) Common Stock,United States,2019,Finance,Finance: Consumer Services
BCPC,Balchem Corporation Common Stock,United States,,Industrials,Major Chemicals
BCRX,BioCryst Pharmaceuticals Inc. Common Stock,United States,1994,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BCS,Barclays PLC Common Stock,United Kingdom,,Finance,Commercial Banks
BCSA,Blockchain Coinvestors Acquisition Corp. I Class A Ordinary Shares,Cayman Islands,2021,Finance,Blank Checks
BCSAU,Blockchain Coinvestors Acquisition Corp. I Unit,Cayman Islands,2021,Finance,Blank Checks
BCSAW,Blockchain Coinvestors Acquisition Corp. I Warrant,Cayman Islands,2021,Finance,Blank Checks
BCSF,Bain Capital Specialty Finance Inc. Common Stock,United States,2018,Finance,Finance/Investors Services
BCTX,BriaCell Therapeutics Corp. Common Shares,Canada,,Health Care,Biotechnology: Pharmaceutical Preparations
BCTXW,BriaCell Therapeutics Corp. Warrant,Canada,,Health Care,Biotechnology: Pharmaceutical Preparations
BCV,Bancroft Fund Ltd.,United States,1972,Finance,Finance/Investors Services
BCV^A,Bancroft Fund Limited 5.375% Series A Cumulative Preferred Shares,United States,,,
BCX,BlackRock Resources Common Shares of Beneficial Interest,United States,2011,Finance,Finance/Investors Services
BCYC,Bicycle Therapeutics plc American Depositary Shares,United Kingdom,2019,Health Care,Biotechnology: Pharmaceutical Preparations
BDC,Belden Inc Common Stock,United States,,Industrials,Telecommunications Equipment
BDJ,Blackrock Enhanced Equity Dividend Trust,United States,2005,Finance,Finance Companies
BDL,Flanigan's Enterprises Inc. Common Stock,United States,1972,Consumer Discretionary,Restaurants
BDN,Brandywine Realty Trust Common Stock,United States,,Real Estate,Real Estate Investment Trusts
BDRX,Biodexa Pharmaceuticals plc American Depositary Shs,United Kingdom,,Health Care,Biotechnology: Pharmaceutical Preparations
BDSX,Biodesix Inc. Common Stock,United States,2020,Health Care,Precision Instruments
BDTX,Black Diamond Therapeutics Inc. Common Stock,United States,2020,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BDX,Becton Dickinson and Company Common Stock,United States,,Health Care,Medical/Dental Instruments
BE,Bloom Energy Corporation Class A Common Stock,United States,2018,Energy,Industrial Machinery/Components
BEAM,Beam Therapeutics Inc. Common Stock,United States,2020,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BEAT,Heartbeam Inc. Common Stock,United States,2021,Technology,Retail: Computer Software & Peripheral Equipment
BEATW,Heartbeam Inc. Warrant,United States,2021,Technology,Retail: Computer Software & Peripheral Equipment
BECN,Beacon Roofing Supply Inc. Common Stock,United States,2004,Consumer Discretionary,RETAIL: Building Materials
BEDU,Bright Scholar Education Holdings Limited American Depositary Shares each  representing four Class A Ordinary Share,China,2017,Real Estate,Other Consumer Services
BEEM,Beam Global Common Stock,United States,,Technology,Semiconductors
BEEMW,Beam Global Warrant,United States,,Technology,Semiconductors
BEEP,Mobile Infrastructure Corporation Common Stock,,2023,Finance,Blank Checks
BEKE,KE Holdings Inc American Depositary Shares (each representing three Class A Ordinary Shares),China,2020,Finance,Real Estate
BELFA,Bel Fuse Inc. Class A Common Stock,United States,,,
BELFB,Bel Fuse Inc. Class B Common Stock,United States,,,
BEN,Franklin Resources Inc. Common Stock,United States,,Finance,Investment Managers
BENF,Beneficient Class A Common Stock,United States,,Finance,Blank Checks
BENFW,Beneficient Warrant,United States,,Finance,Blank Checks
BEP,Brookfield Renewable Partners L.P. ,Canada,,Utilities,Electric Utilities: Central
BEP^A,Brookfield Renewable Partners L.P. 5.25% Class A Preferred Limited Partnership Units Series 17,Canada,,,
BEPC,Brookfield Renewable Corporation Class A Subordinate Voting Shares ,United States,2020,Utilities,Electric Utilities: Central
BEPH,Brookfield BRP Holdings (Canada) Inc. 4.625% Perpetual Subordinated Notes,Canada,,,
BEPI,Brookfield BRP Holdings (Canada) Inc. 4.875% Perpetual Subordinated Notes,Canada,2021,,
BERY,Berry Global Group Inc. Common Stock,United States,2012,Industrials,Plastic Products
BEST,BEST Inc. American Depositary Shares each representing twenty (20) Class A Ordinary Shares,Cayman Islands,2023,Industrials,Trucking Freight/Courier Services
BETR,Better Home & Finance Holding Company Class A Common Stock,United Kingdom,2021,Finance,Finance: Consumer Services
BETRW,Better Home & Finance Holding Company Warrant,United Kingdom,2021,Finance,Finance: Consumer Services
BETS,Bit Brother Limited Class A Ordinary Shares,China,,Consumer Discretionary,Restaurants
BF/A,Brown Forman Corporation,United States,,,
BF/B,Brown Forman Corporation,United States,,,
BFAC,Battery Future Acquisition Corp. Class A Ordinary Shares,,2022,Finance,Blank Checks
BFAM,Bright Horizons Family Solutions Inc. Common Stock,United States,2013,Consumer Discretionary,Other Consumer Services
BFC,Bank First Corporation Common Stock,United States,,Finance,Major Banks
BFH,Bread Financial Holdings Inc. Common Stock,United States,,Consumer Discretionary,Business Services
BFI,BurgerFi International Inc. Common Stock ,Mexico,2018,Consumer Discretionary,Restaurants
BFIIW,BurgerFi International Inc. Warrant ,Mexico,2018,Consumer Discretionary,Restaurants
BFIN,BankFinancial Corporation Common Stock,United States,2005,Finance,Savings Institutions
BFK,BlackRock Municipal Income Trust,United States,,Finance,Finance Companies
BFLY,Butterfly Network Inc. Class A Common Stock,United States,2020,Health Care,Medical Electronics
BFRG,Bullfrog AI Holdings Inc. Common Stock,United States,2023,Technology,Retail: Computer Software & Peripheral Equipment
BFRGW,Bullfrog AI Holdings Inc. Warrants,United States,2023,Technology,Retail: Computer Software & Peripheral Equipment
BFRI,Biofrontera Inc. Common Stock,United States,2021,Health Care,Biotechnology: Pharmaceutical Preparations
BFRIW,Biofrontera Inc. Warrants,United States,2021,Health Care,Biotechnology: Pharmaceutical Preparations
BFS,Saul Centers Inc. Common Stock,United States,1993,Real Estate,Real Estate Investment Trusts
BFS^D,Saul Centers Inc. Depositary Shares each representing 1/100th of a share of 6.125% Series D Cumulative Redeemable Preferred Stock,United States,,,
BFS^E,Saul Centers Inc. Depositary shares each representing a 1/100th fractional interest in a share of 6.000% Series E Cumulative Redeemable Preferred Stock,United States,,,
BFST,Business First Bancshares Inc. Common Stock,United States,,Finance,Major Banks
BFX,BowFlex Inc. Common Stock,United States,,Consumer Discretionary,Recreational Games/Products/Toys
BFZ,BlackRock California Municipal Income Trust,United States,2001,Finance,Finance Companies
BG,Bunge Limited Common Shares,United States,,Consumer Staples,Packaged Foods
BGB,Blackstone Strategic Credit 2027 Term Fund Common Shares of Beneficial Interest,United States,2012,Finance,Trusts Except Educational Religious and Charitable
BGC,BGC Group Inc. Class A Common Stock,United States,,Finance,Investment Bankers/Brokers/Service
BGFV,Big 5 Sporting Goods Corporation Common Stock,United States,2002,Consumer Discretionary,Other Specialty Stores
BGH,Barings Global Short Duration High Yield Fund Common Shares of Beneficial Interests,United States,2012,Finance,Investment Managers
BGI,Birks Group Inc. Common Stock,Canada,,,
BGLC,BioNexus Gene Lab Corp Common stock,Malaysia,,Health Care,Medical Specialities
BGNE,BeiGene Ltd. American Depositary Shares,Cayman Islands,2016,Health Care,Biotechnology: Pharmaceutical Preparations
BGR,BlackRock Energy and Resources Trust,United States,2004,Finance,Trusts Except Educational Religious and Charitable
BGS,B&G Foods Inc. Common Stock,United States,,Consumer Staples,Packaged Foods
BGSF,BGSF Inc. Common Stock,United States,,Consumer Discretionary,Professional Services
BGT,BlackRock Floating Rate Income Trust,United States,2004,Finance,Trusts Except Educational Religious and Charitable
BGX,Blackstone Long Short Credit Income Fund Common Shares,,2011,Finance,Trusts Except Educational Religious and Charitable
BGXX,Bright Green Corporation Common Stock,United States,,Health Care,Biotechnology: Pharmaceutical Preparations
BGY,Blackrock Enhanced International Dividend Trust,United States,2007,Finance,Trusts Except Educational Religious and Charitable
BH,Biglari Holdings Inc. Class B Common Stock,United States,2018,Consumer Discretionary,Restaurants
BHAC,Focus Impact BH3 Acquisition Company Class A Common Stock,United States,2021,Finance,Blank Checks
BHACW,Focus Impact BH3 Acquisition Company Warrants,United States,2021,Finance,Blank Checks
BHAT,Blue Hat Interactive Entertainment Technology Ordinary Shares,China,2019,Consumer Discretionary,Recreational Games/Products/Toys
BHB,Bar Harbor Bankshares Inc. Common Stock,United States,1997,Finance,Major Banks
BHC,Bausch Health Companies Inc. Common Stock,Canada,,Health Care,Biotechnology: Pharmaceutical Preparations
BHE,Benchmark Electronics Inc. Common Stock,United States,,Technology,Electrical Products
BHF,Brighthouse Financial Inc. Common Stock,United States,,Finance,Life Insurance
BHFAL,Brighthouse Financial Inc. 6.25% Junior Subordinated Debentures due 2058,United States,,Finance,Life Insurance
BHFAM,Brighthouse Financial Inc. Depositary shares each representing a 1/1000th Interest in a Share of 4.625% Non-Cumulative Preferred Stock Series D,United States,,Finance,Life Insurance
BHFAN,Brighthouse Financial Inc. Depositary shares each representing a 1/1000th interest in a share of 5.375% Non-Cumulative Preferred Stock Series C,United States,,Finance,Life Insurance
BHFAO,Brighthouse Financial Inc. Depositary Shares 6.75% Non-Cumulative Preferred Stock Series B,United States,,Finance,Life Insurance
BHFAP,Brighthouse Financial Inc. Depositary Shares 6.6% Non-Cumulative Preferred Stock Series A,United States,,Finance,Life Insurance
BHG,Bright Health Group Inc. Common Stock,United States,2021,Health Care,Medical Specialities
BHIL,Benson Hill Inc. Common Stock,United States,2021,Consumer Staples,Packaged Foods
BHK,Blackrock Core Bond Trust,United States,2001,Finance,Finance Companies
BHLB,Berkshire Hills Bancorp Inc. Common Stock,United States,,Finance,Banks
BHM,Bluerock Homes Trust Inc. Class A Common Stock,,2022,Real Estate,Real Estate Investment Trusts
BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),Australia,,Basic Materials,Metal Mining
BHR,Braemar Hotels & Resorts Inc. Common Stock,United States,2013,Real Estate,Real Estate Investment Trusts
BHR^B,Braemar Hotels & Resorts Inc. 5.50% Series B Cumulative Convertible Preferred Stock par value $0.01 per share,United States,,,
BHR^D,Braemar Hotels & Resorts Inc. 8.25% Series D Cumulative Preferred Stock  par value $0.01 per share,United States,,,
BHRB,Burke & Herbert Financial Services Corp. Common Stock,United States,,Finance,Major Banks
BHV,BlackRock Virginia Municipal Bond Trust,United States,2002,Finance,Finance/Investors Services
BHVN,Biohaven Ltd. Common Shares ,United States,2022,Health Care,Biotechnology: Pharmaceutical Preparations
BIAF,bioAffinity Technologies Inc. Common Stock,United States,2022,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
BIDU,Baidu Inc. ADS,China,2005,Technology,Computer Software: Programming Data Processing
BIG,Big Lots Inc. Common Stock,United States,,Consumer Discretionary,Department/Specialty Retail Stores
BIGC,BigCommerce Holdings Inc. Series 1 Common Stock,United States,2020,Technology,Computer Software: Prepackaged Software
BIGZ,BlackRock Innovation and Growth Term Trust Common Shares of Beneficial Interest,,2021,,
BIIB,Biogen Inc. Common Stock,United States,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BILI,Bilibili Inc. American Depositary Shares,China,2018,Technology,EDP Services
BILL,BILL Holdings Inc. Common Stock,United States,2019,Technology,EDP Services
BIMI,BIMI International Medical Inc. Common Stock,China,,Health Care,Other Pharmaceuticals
BIO,Bio-Rad Laboratories Inc. Class A Common Stock,United States,1980,Industrials,Biotechnology: Laboratory Analytical Instruments
BIO/B,Bio-Rad Laboratories Inc.,United States,,,
BIOL,Biolase Inc. Common Stock,United States,,Health Care,Medical/Dental Instruments
BIOR,Biora Therapeutics Inc. Common Stock,United States,2020,Health Care,Biotechnology: Pharmaceutical Preparations
BIOX,Bioceres Crop Solutions Corp. Ordinary Shares,Argentina,,Industrials,Agricultural Chemicals
BIP,Brookfield Infrastructure Partners LP Limited Partnership Units,Bermuda,,Consumer Discretionary,Marine Transportation
BIP^A,Brookfield Infrastructure Partners LP 5.125% Class A Preferred Limited Partnership Units Series 13,Bermuda,,,
BIP^B,Brookfield Infrastructure Partners LP 5.000% Class A Preferred Limited Partnership Units Series 14,Bermuda,,,
BIPC,Brookfield Infrastructure Corporation ,Canada,2020,Utilities,Power Generation
BIPH,Brookfield Infrastructure Corporation 5.000% Subordinated Notes due 2081,Canada,2021,,
BIPI,BIP Bermuda Holdings I Limited 5.125% Perpetual Subordinated Notes,Bermuda,2022,,
BIRD,Allbirds Inc. Class A Common Stock,United States,2021,Consumer Discretionary,Apparel
BIRK,Birkenstock Holding plc Ordinary Shares,,2023,,
BIT,BlackRock Multi-Sector Income Trust Common Shares of Beneficial Interest,,2013,Finance,Trusts Except Educational Religious and Charitable
BITE,Bite Acquisition Corp. Common Stock,,2021,Finance,Blank Checks
BITF,Bitfarms Ltd. Common Stock,Canada,,Finance,Finance: Consumer Services
BIVI,BioVie Inc. Class A Common Stock,United States,,Health Care,Biotechnology: Pharmaceutical Preparations
BJ,BJ's Wholesale Club Holdings Inc. Common Stock,United States,2018,Consumer Discretionary,Department/Specialty Retail Stores
BJDX,Bluejay Diagnostics Inc. Common Stock,United States,2021,Health Care,Medical Specialities
BJRI,BJ's Restaurants Inc. Common Stock,United States,,Consumer Discretionary,Restaurants
BK,The Bank of New York Mellon Corporation Common Stock,United States,,Finance,Major Banks
BKCC,BlackRock Capital Investment Corporation Common Stock,United States,2007,Finance,Finance: Consumer Services
BKD,Brookdale Senior Living Inc. Common Stock,United States,2005,Health Care,Hospital/Nursing Management
BKDT,Brookdale Senior Living Inc. 7.00% Tangible Equity Units,United States,2022,Health Care,Hospital/Nursing Management
BKE,Buckle Inc. (The) Common Stock,United States,,Consumer Discretionary,Clothing/Shoe/Accessory Stores
BKH,Black Hills Corporation Common Stock,United States,,Utilities,Electric Utilities: Central
BKKT,Bakkt Holdings Inc. Class A Common Stock,United States,,Technology,Computer Software: Prepackaged Software
BKN,BlackRock Investment Quality Municipal Trust Inc. (The),United States,1993,Finance,Trusts Except Educational Religious and Charitable
BKNG,Booking Holdings Inc. Common Stock,United States,,Consumer Discretionary,Transportation Services
BKR,Baker Hughes Company Class A Common Stock,United States,,Industrials,Metal Fabrications
BKSY,BlackSky Technology Inc. Class A Common Stock,United States,2019,Technology,Radio And Television Broadcasting And Communications Equipment
BKT,BlackRock Income Trust Inc. (The),United States,,Finance,Investment Bankers/Brokers/Service
BKTI,BK Technologies Corporation Common Stock,United States,,Technology,Radio And Television Broadcasting And Communications Equipment
BKU,BankUnited Inc. Common Stock,United States,2011,Finance,Savings Institutions
BKYI,BIO-key International Inc. Common Stock,United States,,Technology,Computer Software: Prepackaged Software
BL,BlackLine Inc. Common Stock,United States,2016,Technology,Computer Software: Prepackaged Software
BLAC,Bellevue Life Sciences Acquisition Corp. Common Stock,United States,2023,Finance,Blank Checks
BLBD,Blue Bird Corporation Common Stock,United States,2014,Consumer Discretionary,Construction/Ag Equipment/Trucks
BLBX,Blackboxstocks Inc. Common Stock,United States,,Technology,EDP Services
BLCO,Bausch + Lomb Corporation Common Shares,,2022,Health Care,Ophthalmic Goods
BLD,TopBuild Corp. Common Stock,United States,2015,Consumer Discretionary,Engineering & Construction
BLDE,Blade Air Mobility Inc. Class A Common Stock,United States,2019,Consumer Discretionary,Transportation Services
BLDEW,Blade Air Mobility Inc. Warrants,United States,2019,Consumer Discretionary,Transportation Services
BLDP,Ballard Power Systems Inc. Common Shares,Canada,,Energy,Industrial Machinery/Components
BLDR,Builders FirstSource Inc. Common Stock,United States,2005,Consumer Discretionary,RETAIL: Building Materials
BLE,BlackRock Municipal Income Trust II,United States,2002,Finance,Finance/Investors Services
BLEUR,bleuacacia ltd Rights,United States,2022,Finance,Blank Checks
BLEUW,bleuacacia ltd Warrants,United States,2022,Finance,Blank Checks
BLFS,BioLife Solutions Inc. Common Stock,United States,,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
BLFY,Blue Foundry Bancorp Common Stock,United States,2021,Finance,Commercial Banks
BLIN,Bridgeline Digital Inc. Common Stock,United States,2007,Technology,EDP Services
BLK,BlackRock Inc. Common Stock,United States,1999,Finance,Investment Bankers/Brokers/Service
BLKB,Blackbaud Inc. Common Stock,United States,2004,Technology,Computer Software: Prepackaged Software
BLMN,Bloomin' Brands Inc. Common Stock,United States,2012,Consumer Discretionary,Restaurants
BLND,Blend Labs Inc. Class A Common Stock,United States,2021,Technology,EDP Services
BLNK,Blink Charging Co. Common Stock,United States,,Consumer Discretionary,Industrial Specialties
BLRX,BioLineRx Ltd. American Depositary Shares,Israel,,Health Care,Biotechnology: Pharmaceutical Preparations
BLTE,Belite Bio Inc American Depositary Shares,United States,2022,Health Care,Biotechnology: Pharmaceutical Preparations
BLUE,bluebird bio Inc. Common Stock,United States,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BLW,Blackrock Limited Duration Income Trust,United States,2003,Consumer Discretionary,Other Consumer Services
BLX,Banco Latinoamericano de Comercio Exterior S.A.,Panama,1992,Finance,Commercial Banks
BLZE,Backblaze Inc. Class A Common Stock,United States,2021,Technology,Computer Software: Prepackaged Software
BMA,Banco Macro S.A.  ADR (representing Ten Class B Common Shares),Argentina,,Finance,Commercial Banks
BMBL,Bumble Inc. Class A Common Stock,United States,2021,Technology,Computer Software: Prepackaged Software
BME,Blackrock Health Sciences Trust,United States,2005,Finance,Trusts Except Educational Religious and Charitable
BMEA,Biomea Fusion Inc. Common Stock,United States,2021,Health Care,Biotechnology: Pharmaceutical Preparations
BMEZ,BlackRock Health Sciences Term Trust Common Shares of Beneficial Interest,,2020,Finance,Trusts Except Educational Religious and Charitable
BMI,Badger Meter Inc. Common Stock,United States,1971,Industrials,Industrial Machinery/Components
BML^G,Bank of America Corporation Depositary Shares (Each representing a 1/1200th interest in a share of Floating Rate Non-Cumulative Preferred Stock  Series 1),United States,,,
BML^H,Bank of America Corporation Depositary Shares (Each representing a 1/1200th interest in a Share of Floating Rate Non-Cumulative Preferred Stock Series 2),United States,,,
BML^J,Bank of America Corporation Depositary Shares (Each representing a 1/1200th interest in a Share of Floating Rate Non-Cumulative Preferred Stock Series 4),United States,,,
BML^L,Bank of America Corporation Depositary Shares (Each representing a 1/1200th Interest in a Share of Floating Rate Non-Cumulative Preferred Stock Series 5),United States,,,
BMN,BlackRock 2037 Municipal Target Term Trust Common Shares of Beneficial Interest,,2022,Finance,Trusts Except Educational Religious and Charitable
BMO,Bank Of Montreal Common Stock,Canada,,,
BMR,Beamr Imaging Ltd. Ordinary Share,Israel,2023,Technology,Computer Software: Prepackaged Software
